hash,assignment
s957e6HPG,C1
iIBYMZGPg,C1
Ybh1w_CLk,C1
HDgTHpob9,C1
O9AbMR58p,C2
F8sY0oMjs,C1
UadYAHxwq,C1
VA9cIni74,C2
7e0ydWxnS,C2
5zvxlvOch,C2
VZt4VfP8K,C3
98QxUG1sE,C2
CoMeoV5kI,C3
tbTNMatYX,C3
P3PSJxXtI,C3
eUVcX648f,C3
​63_lob63o,C3
Vn0Ef02kK,C3
y4XDab1NP,C4
bkjQpwphc,C3
6WKW2qKAK,C4
T-H2maQ88,C4
​D80vcGCMD,C4
NXsR8HBiw,C4
jl9_jN96b,C5
rzgzg4Ge7,C5
6CYv45quk,C5
geNc5imK_,C5
qBrKYxcZC,C10
8SsknVVKA,C10
J7YTA8VWw,C10
4kiipVGrn,C10
dYL1dFxQu,C2
TgVNNdIxS,C2
BQB7Xz72x,C2
mDXYXYJzx,C24
J6baEypl4,C24
6OAnxnjaD,C24
ve61N6Mz6,C3
NFQMAOp4m,C7
11FUOLduu,C3
tS98U_yKo,C25
v3ZX67zza,C4
vm63vb8jV,C25
6YXAE75HJ,C6
68pYIX-Fq,C8
_N4YEXI7p,C8
QKa6UqGij,C26
JeU3accbB,C26
nXANiQ-K1,C24
-lhBRFlJY,C7
qALXPcEzY,C9
yigtaY6L-,C9
1o9tKtmBu,C27
i77MEG7mz,C25
j87-9vaTP,C25
S5n170INu,C8
2cC2sWyMD,C11
no2LHJwOH,C11
ljx400Osz,C26
DGW2BFg5X,C28
Rx2p9KsNd,C26
VrIcRExwd,C12
BKzhs1jQ_,C12
t_XHkMq2r,C9
iU_SiFWzb,C29
YXso-Od3w,C27
8q1dPAh-T,C29
eQRo1wVR7,C13
6yuOvRpso,C11
Tz1QeAV1S,C13
G-GV9VAsn,C30
kz6EnsW4Q,C28
S2l7T8QKm,C30
b_zNMWqN7,C12
JXvLriBbO,C12
xyy2OmK2t,C12
VBKUtMInA,C31
sVqXAVN1w,C31
a1dX91bW9,C31
bDZgUwaY7,C13
c7SjMK8u9,C16
JZET09XlZ,C16
fS8gNxb_S,C30
lfUPHmi3t,C30
kip2AbzTn,C30
-tOgSXrOm,C16
wVe0iLUTm,C18
3ZJ1wwc4v,C16
62XcnbDjd,C34
7EJr6Gp39,C32
BK7EXVaOx,C34
CJ9jNfJSm,C18
mOQ4qsTIM,C21
q6Q41D35-,C18
EA6Ex4Msw,C34
BvunvqfcV,C34
sBzPpqj9t,C22
DHoJSHhu_,C14
78Tsx5gza,C17
jm4VmMQ4f,C17
jyewGhH8a,C31
MYX-BRytp,C31
ucOoEBh3v,C31
CZIPP5nyY,C17
r498CK9TW,C19
7lxGQJgqp,C17
hffbQ3_H6,C35
PAp8fOxoB,C35
DY_xdOB0R,C33
gvbR4ZRdb,C19
hSPtCgEus,C22
xCJ29iBt-,C19
lx9sJ2Ytg,C23
wdp_ykRCg,C23
ZafyDnzoF,C35
M4kd6obI8,C15
lFzLnLSxn,C15
j0-EgeaMd,C15
Ap1Y2inZ6,C15
a_XonwtL3,C20
FHQv1wRyf,C20
gEcF9uFKi,C20
LZTBj6RlO,C21
BCV8vC6GG,C20
V5wGWqqti,C20
Rz48Vjb78,C21
pErmgz52H,C21
utDo02yyG,C21
M9N8k7nIj,C21
N2sMYxPs5,C22
HwRl74jKw,C22
Th-wTT_u0,C22
9Zq0_POhY,C22
wS9tUQlwI,C22
abDXCqtgY,C22
5X8zs4k82,C23
gnpUlsvtN,C22
DxVu1c70m,C23
g_5bBsV9O,C23
NjRygsyxc,C23
kdV9Z9GcL,C23
N3ytQ0_ht,C23
f1-ksYKl8,C23
